JEAN-PHILIPPE-FLEURIAN,9.0,0.4166666666666667
EYAL-RAN,22.0,0.19047619047619047
KRIS-GOOSSENS,2.0,0
BEN-ELLWOOD,12.0,0.2727272727272727
GEOFF-GRANT,23.0,0.4069264069264069
BORIS-BECKER,73.0,0.5372549019607843
LLEYTON-HEWITT,826.0,0.3316725816725817
TOBY-MITCHELL,2.0,1.0
FERNON-WIBIER,16.0,0.4
GUY-FORGET,5.0,0.6
PAT-CASH,9.0,0.5555555555555556
ANDREI-CHESNOKOV,12.0,0.5151515151515151
ORLIN-STANOYTCHEV,59.0,0.4
ANDREI-PAVEL,509.0,0.3388418782147005
MARCOS-AURELIO-GORRIZ,13.0,0.3717948717948718
SEBASTIEN-LAREAU,119.0,0.3971631205673759
ANDREA-GAUDENZI,222.0,0.48254965772640557
ANDREI-OLHOVSKIY,15.0,0.3333333333333333
THIERRY-CHAMPION,19.0,0.4093567251461988
LARS-JONSSON,9.0,0.19444444444444445
JAYMON-CRABB,9.0,0.4722222222222222
JUSTIN-GIMELSTOB,267.0,0.3579106846547868
DANIEL-NESTOR,117.0,0.4687052078356426
OSCAR-BURRIEZA-LOPEZ,24.0,0.3939393939393939
ALEXANDER-REICHEL,6.0,0.13333333333333333
BRYAN-SHELTON,10.0,0.35555555555555557
JOHAN-VAN-HERCK,66.0,0.473604826546003
HENDRIK-DREEKMANN,95.0,0.4663157894736842
JACCO-ELTINGH,6.0,0.4
MARK-KNOWLES,15.0,0.2571428571428571
ALEXANDER-VOLKOV,20.0,0.29411764705882354
JEROME-GOLMARD,247.0,0.43319630010277493
DOUG-FLACH,31.0,0.43349753694581283
GERARD-SOLVES,19.0,0.22807017543859648
OLEG-OGORODOV,31.0,0.3139784946236559
KEVIN-ULLYETT,32.0,0.4014778325123153
TOMAS-NYDAHL,43.0,0.42804878048780487
SHUZO-MATSUOKA,6.0,0.4
SATOSHI-IWABUCHI,22.0,0.20346320346320346
FILIPPO-MESSORI,3.0,0.6666666666666666
JIA-PING-XIA,3.0,0
MAX-MIRNYI,467.0,0.402695988222304
BING-PAN,1.0,0
MARTIN-SINNER,46.0,0.41970310391363025
STEFANO-PESCOSOLIDO,22.0,0.4666666666666667
GASTON-ETLIS,53.0,0.3914053426248548
RADOMIR-VASEK,25.0,0.45666666666666667
JOZSEF-KROCSKO,4.0,0.3333333333333333
IVAN-LJUBICIC,696.0,0.36500467529333697
SASA-HIRSZON,5.0,0.4
FRANCISCO-MONTANA,1.0,0
RICHARD-KRAJICEK,267.0,0.4736062625621496
HENDRIK-JAN-DAVIDS,3.0,0
YOUNES-EL-AYNAOUI,351.0,0.4258625605930995
JAMES-SEKULOV,19.0,0.6993464052287581
DAVID-RIKL,8.0,0.5
FABRICE-SANTORO,611.0,0.3636635141861623
ARNAUD-CLEMENT,668.0,0.3401812845752279
CEDRIC-PIOLINE,312.0,0.45311638168781027
FRANCISCO-ROIG,17.0,0.55
FRANCISCO-CLAVET,338.0,0.4262578616352201
OLIVIER-DELAITRE,38.0,0.37936507936507935
SEBASTIEN-GROSJEAN,572.0,0.3868114643976713
TODD-MARTIN,286.0,0.4596393301846286
ANDRE-AGASSI,535.0,0.4070755205635554
JIM-GRABB,9.0,0.4722222222222222
MASHISKA-WASHINGTON,9.0,0.5
STEVE-BRYAN,8.0,0.32142857142857145
ALEJANDRO-HERNANDEZ,23.0,0.42292490118577075
BRIAN-MACPHIE,32.0,0.3522167487684729
RYAN-WOLTERS,1.0,0
NICOLAS-LAPENTTI,568.0,0.3281457464875714
MARCELO-FILIPPINI,88.0,0.48205128205128206
TOMMY-HO,8.0,0.2857142857142857
DICK-NORMAN,88.0,0.2682098765432099
CHRISTOPHE-VAN-GARSSE,23.0,0.4142857142857143
NICOLAS-KIEFER,606.0,0.3414519906323185
JASON-STOLTENBERG,176.0,0.45385202135774216
MARK-PHILIPPOUSSIS,398.0,0.40815127397040757
VINCENT-SPADEA,565.0,0.3129430217476548
LUKE-JENSEN,9.0,0.3333333333333333
JOHAN-HEDE,1.0,0
MARZIO-MARTELLI,45.0,0.42780026990553305
CRISTIANO-CARATTI,30.0,0.458128078817734
DANIELE-MUSA,2.0,0
OMAR-CAMPORESE,10.0,0.3888888888888889
LEONARDO-LAVALLE,3.0,0.6666666666666666
TOMMY-HAAS,876.0,0.30786685383535567
LARS-BURGSMULLER,234.0,0.36007503066156843
FREDERIK-FETTERLEIN,17.0,0.4583333333333333
NUNO-MARQUES,16.0,0.4
PATRIK-LANGVARDT,1.0,0
THOMAS-LARSEN,4.0,0.5
EYAL-ERLICH,6.0,0.3333333333333333
EMILIO-BENFELE-ALVAREZ,74.0,0.38784461152882205
MARIANO-ZABALETA,402.0,0.38317851885691084
JULIAN-ALONSO,112.0,0.4367283950617284
MARK-MERKLEIN,11.0,0.4444444444444444
