IVAN-LENDL,WALLY-MASUR
JONAS-SVENSSON,MAGNUS-GUSTAFSSON
SCOTT-DAVIS,GUY-FORGET
NICKLAS-KULTI,JAKOB-HLASEK
JAY-BERGER,JOHAN-ANDERSON
JASON-STOLTENBERG,AARON-KRICKSTEIN
DAVID-WHEATON,ANDREI-CHERKASOV
MARC-ROSSET,RICHARD-KRAJICEK
PETR-KORDA,JIMMY-ARIAS
SERGI-BRUGUERA,DARREN-CAHILL
GUILLAUME-RAOUX,MARTIN-JAITE
MARK-KOEVERMANS,AMOS-MANSDORF
HORST-SKOFF,DERRICK-ROSTAGNO
CARL-UWE-STEEB,FABRICE-SANTORO
ALEXANDER-VOLKOV,MICHAEL-STICH
MAGNUS-LARSSON,TODD-WOODBRIDGE
IVAN-LENDL,BORIS-BECKER
STEFAN-EDBERG,IVAN-LENDL
PATRICK-MCENROE,BORIS-BECKER
JAIME-YZAGA,STEFAN-EDBERG
GUY-FORGET,BORIS-BECKER
GORAN-PRPIC,IVAN-LENDL
CRISTIANO-CARATTI,PATRICK-MCENROE
JIM-COURIER,STEFAN-EDBERG
WAYNE-FERREIRA,BORIS-BECKER
AARON-KRICKSTEIN,IVAN-LENDL
TODD-WOODBRIDGE,GUY-FORGET
RICHARD-KRAJICEK,CRISTIANO-CARATTI
MARK-WOODFORDE,PATRICK-MCENROE
JAN-SIEMERINK,GORAN-PRPIC
MATS-WILANDER,JAIME-YZAGA
PAT-CASH,STEFAN-EDBERG
OMAR-CAMPORESE,BORIS-BECKER
MAGNUS-GUSTAFSSON,IVAN-LENDL
GORAN-IVANISEVIC,GORAN-PRPIC
BRAD-GILBERT,MATS-WILANDER
JONAS-SVENSSON,TODD-WOODBRIDGE
MICHAEL-STICH,GUY-FORGET
JAY-BERGER,PATRICK-MCENROE
PATRIK-KUHNEN,AARON-KRICKSTEIN
JAIME-ONCINS,JIM-COURIER
GLENN-LAYENDECKER,CRISTIANO-CARATTI
JACCO-ELTINGH,WAYNE-FERREIRA
DARREN-CAHILL,RICHARD-KRAJICEK
MARK-KOEVERMANS,JAN-SIEMERINK
GRANT-CONNELL,MARK-WOODFORDE
JIMMY-ARIAS,JAIME-YZAGA
EDUARDO-MASSO,STEFAN-EDBERG
MARIAN-VAJDA,BORIS-BECKER
SCOTT-DAVIS,IVAN-LENDL
RAMESH-KRISHNAN,GORAN-IVANISEVIC
RICHARD-FROMBERG,BRAD-GILBERT
FRANCISCO-CLAVET,JONAS-SVENSSON
ALEXANDER-MRONZ,GUY-FORGET
TODD-WITSKEN,JAY-BERGER
AMOS-MANSDORF,AARON-KRICKSTEIN
ANDREI-CHERKASOV,DARREN-CAHILL
GILAD-BLOOM,JIM-COURIER
BART-WUYTS,JIMMY-ARIAS
PAUL-HAARHUIS,OMAR-CAMPORESE
DAVID-ENGEL,CRISTIANO-CARATTI
CHRISTO-VAN-RENSBURG,PAT-CASH
ANDERS-JARRYD,GRANT-CONNELL
JEAN-PHILIPPE-FLEURIAN,JACCO-ELTINGH
LARS-ANDERS-WAHLGREN,WAYNE-FERREIRA
WALLY-MASUR,MAGNUS-GUSTAFSSON
JASON-STOLTENBERG,MARK-KOEVERMANS
PETR-KORDA,RICHARD-KRAJICEK
SLAVA-DOSEDEL,PATRIK-KUHNEN
PETER-LUNDGREN,GLENN-LAYENDECKER
JOHAN-ANDERSON,PATRICK-MCENROE
NUNO-MARQUES,JAIME-ONCINS
LUIZ-MATTAR,GORAN-PRPIC
CARL-UWE-STEEB,JAN-SIEMERINK
MARTIN-JAITE,MICHAEL-STICH
CHRISTIAN-SACEANU,MATS-WILANDER
CHRISTIAN-BERGSTROM,TODD-WOODBRIDGE
BRYAN-SHELTON,MARK-WOODFORDE
MICHIEL-SCHAPERS,JAIME-YZAGA
DIMITRI-POLIAKOV,STEFAN-EDBERG
JEREMY-BATES,BORIS-BECKER
TARIK-BENHABILES,IVAN-LENDL
SERGI-BRUGUERA,GORAN-IVANISEVIC
EMILIO-SANCHEZ,MARK-WOODFORDE
DAVID-WHEATON,BRAD-GILBERT
THIERRY-CHAMPION,JONAS-SVENSSON
ANDREI-CHESNOKOV,JIMMY-ARIAS
HORST-SKOFF,GUY-FORGET
JAKOB-HLASEK,JASON-STOLTENBERG
MAGNUS-LARSSON,JAY-BERGER
SIMON-YOUL,AARON-KRICKSTEIN
DERRICK-ROSTAGNO,ANDREI-CHERKASOV
MARC-ROSSET,LARS-ANDERS-WAHLGREN
JAN-GUNNARSSON,JIM-COURIER
AKI-RAHUNEN,JOHAN-ANDERSON
CEDRIC-PIOLINE,CHRISTIAN-BERGSTROM
DIEGO-PEREZ,GILAD-BLOOM
JONATHAN-CANTER,DARREN-CAHILL
MARKUS-ZOECKE,OMAR-CAMPORESE
BRODERICK-DYKE,CRISTIANO-CARATTI
KAREL-NOVACEK,PAT-CASH
ANDREW-CASTLE,FRANCISCO-CLAVET
NICLAS-KROON,GRANT-CONNELL
ALEX-ANTONITSCH,SCOTT-DAVIS
JAVIER-FRANA,SLAVA-DOSEDEL
ROBBIE-WEISS,JACCO-ELTINGH
KELLY-EVERNDEN,DAVID-ENGEL
FERNANDO-LUNA,WAYNE-FERREIRA
RENZO-FURLAN,JEAN-PHILIPPE-FLEURIAN
PETER-DOOHAN,RICHARD-FROMBERG
JAMIE-MORGAN,MAGNUS-GUSTAFSSON
JAVIER-SANCHEZ,PAUL-HAARHUIS
LUIS-HERRERA,MARTIN-JAITE
GARY-MULLER,ANDERS-JARRYD
DAVID-PATE,MARK-KOEVERMANS
ALEXANDER-VOLKOV,PETR-KORDA
FABRICE-SANTORO,RICHARD-KRAJICEK
ERIC-JELEN,RAMESH-KRISHNAN
GUILLAUME-RAOUX,PATRIK-KUHNEN
UDO-RIGLEWSKI,GLENN-LAYENDECKER
LEONARDO-LAVALLE,PETER-LUNDGREN
ANDREW-SZNAJDER,AMOS-MANSDORF
JOAO-CUNHA-SILVA,NUNO-MARQUES
BRAD-PEARCE,EDUARDO-MASSO
SANDON-STOLLE,WALLY-MASUR
NICKLAS-KULTI,LUIZ-MATTAR
THOMAS-HOGSTEDT,PATRICK-MCENROE
JOHN-FITZGERALD,ALEXANDER-MRONZ
JOHN-ARBANAS,JAIME-ONCINS
JIM-PUGH,GORAN-PRPIC
JEFF-TARANGO,CHRISTIAN-SACEANU
MARTIN-SINNER,MICHIEL-SCHAPERS
PAOLO-CANE,BRYAN-SHELTON
JOSE-FRANCISCO-ALTUR,JAN-SIEMERINK
CLAUDIO-PISTOLESI,CARL-UWE-STEEB
MALIVAI-WASHINGTON,MICHAEL-STICH
BRIAN-GARROW,MARIAN-VAJDA
MARK-KRATZMANN,CHRISTO-VAN-RENSBURG
HEATH-DENMAN,MATS-WILANDER
KELLY-JONES,TODD-WITSKEN
MARK-KAPLAN,TODD-WOODBRIDGE
LARS-JONSSON,BART-WUYTS
DANIEL-VACEK,JAIME-YZAGA
FERNANDO-ROESE,PATRICK-BAUR
SHUZO-MATSUOKA,PATRICK-BAUR
MARTIN-WOSTENHOLME,FERNANDO-ROESE
DIEGO-PEREZ,PATRICK-BAUR
RODOLPHE-GILBERT,SHUZO-MATSUOKA
CHRIS-GARNER,FERNANDO-ROESE
HENRIK-HOLM,MARTIN-WOSTENHOLME
DANILO-MARCELINO,FERNANDO-ROESE
JAIME-ONCINS,HENRIK-HOLM
TARIK-BENHABILES,CHRIS-GARNER
JACCO-ELTINGH,SHUZO-MATSUOKA
GABRIEL-MARKUS,PATRICK-BAUR
PABLO-ARRAYA,RODOLPHE-GILBERT
FERNANDO-MELIGENI,DIEGO-PEREZ
PABLO-ALBANO,MARTIN-WOSTENHOLME
LUIZ-MATTAR,RODOLPHE-GILBERT
MARCELO-FILIPPINI,DANILO-MARCELINO
HORACIO-DE-LA-PENA,PABLO-ALBANO
RENZO-FURLAN,GABRIEL-MARKUS
MAURO-MENEZES,JAIME-ONCINS
CASSIO-MOTTA,FERNANDO-MELIGENI
MARCELO-SALIOLA,TARIK-BENHABILES
JIMMY-BROWN,JACCO-ELTINGH
PEDRO-REBOLLEDO,PABLO-ARRAYA
OLIVIER-DELAITRE,PATRICK-BAUR
CHRISTER-ALLGARDH,CHRIS-GARNER
GIANLUCA-POZZI,HENRIK-HOLM
JOSE-FRANCISCO-ALTUR,SHUZO-MATSUOKA
THIERRY-TULASNE,DIEGO-PEREZ
JOHAN-CARLSSON,FERNANDO-ROESE
LAWSON-DUNCAN,MARTIN-WOSTENHOLME
CRISTIANO-CARATTI,ALEXANDER-VOLKOV
JAKOB-HLASEK,ALEXANDER-VOLKOV
CARL-UWE-STEEB,CRISTIANO-CARATTI
JAN-GUNNARSSON,JAKOB-HLASEK
AARON-KRICKSTEIN,CARL-UWE-STEEB
PAT-CASH,ALEXANDER-VOLKOV
NICKLAS-KULTI,CRISTIANO-CARATTI
IVAN-LENDL,CRISTIANO-CARATTI
ANDREI-CHESNOKOV,JAN-GUNNARSSON
ANDERS-JARRYD,JAKOB-HLASEK
THIERRY-CHAMPION,AARON-KRICKSTEIN
ERIC-JELEN,ALEXANDER-VOLKOV
GORAN-PRPIC,PAT-CASH
DIEGO-NARGISO,NICKLAS-KULTI
KAREL-NOVACEK,CARL-UWE-STEEB
MAGNUS-LARSSON,IVAN-LENDL
GORAN-IVANISEVIC,GORAN-PRPIC
SEBASTIAN-SORESINI,ANDREI-CHESNOKOV
MICHAEL-CHANG,CARL-UWE-STEEB
TODD-WITSKEN,JAKOB-HLASEK
AMOS-MANSDORF,AARON-KRICKSTEIN
MARC-ROSSET,NICKLAS-KULTI
CEDRIC-PIOLINE,ALEXANDER-VOLKOV
PETER-LUNDGREN,CRISTIANO-CARATTI
ANDREI-CHERKASOV,PAT-CASH
MARK-KOEVERMANS,THIERRY-CHAMPION
CLAUDIO-MEZZADRI,JAN-GUNNARSSON
ROBERTO-RAFFA,ANDERS-JARRYD
CHRISTO-VAN-RENSBURG,ERIC-JELEN
OMAR-CAMPORESE,DIEGO-NARGISO
RONALD-AGENOR,KAREL-NOVACEK
BRAD-GILBERT,DARREN-CAHILL
ANDRE-AGASSI,BRAD-GILBERT
WALLY-MASUR,DARREN-CAHILL
KEVIN-CURREN,ANDRE-AGASSI
DAN-GOLDIE,BRAD-GILBERT
JOHN-MCENROE,DARREN-CAHILL
DAVID-PATE,WALLY-MASUR
UDO-RIGLEWSKI,ANDRE-AGASSI
ANDRES-GOMEZ,DAVID-PATE
ALEXANDER-MRONZ,BRAD-GILBERT
MARK-KRATZMANN,JOHN-MCENROE
TIM-MAYOTTE,DAN-GOLDIE
GUILLAUME-RAOUX,DARREN-CAHILL
RAMESH-KRISHNAN,WALLY-MASUR
LUIS-HERRERA,KEVIN-CURREN
JEFF-TARANGO,ANDRE-AGASSI
BRIAN-DEVENING,ANDRES-GOMEZ
PATRIK-KUHNEN,BRAD-GILBERT
ANDREW-SZNAJDER,JOHN-MCENROE
